Player,No.,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,Player-additional
Dick Barnett,12,SG,4-Jun,190,October 2 1936,us,9,Tennessee State,barnedi01
Nate Bowman,17,C,10-Jun,230,March 19 1943,us,3,Wichita State,bowmana01
Bill Bradley,24,SF,5-Jun,205,July 28 1943,us,2,Princeton,bradlbi01
Dave DeBusschere,22,PF,6-Jun,220,October 16 1940,us,7,Detroit Mercy,debusda01
Walt Frazier,10,PG,4-Jun,200,March 29 1945,us,2,Southern Illinois,fraziwa01
Bill Hosket,20,PF,8-Jun,225,December 20 1946,us,1,Ohio State,hoskebi01
Don May,5,SF,4-Jun,200,January 3 1946,us,1,Dayton,maydo01
Willis Reed,19,C,10-Jun,235,June 25 1942,us,5,Grambling State University,reedwi01
Mike Riordan,6,SG,4-Jun,200,July 9 1945,us,1,Providence,riordmi01
Cazzie Russell,33,SF,5-Jun,218,June 7 1944,us,3,Michigan,russeca01
Dave Stallworth,9,SF,7-Jun,200,December 20 1941,us,2,Wichita State,stallda01
John Warren,16,SG,3-Jun,180,July 7 1947,us,R,St. John's,warrejo01
Lucius Allen,42,PG,2-Jun,175,September 26 1947,us,R,UCLA,allenlu01
Bob Boozer,20,PF,8-Jun,215,April 26 1937,us,9,Kansas State,boozebo01
Barry Clemens,43,SF,6-Jun,210,May 1 1943,us,4,Ohio Wesleyan University,clemeba01
Al Hairston,25,SG,1-Jun,170,December 11 1945,,1,Bowling Green,hairsal01
Art Harris,12,SG,4-Jun,185,January 13 1947,,1,Stanford,harriar01
Joe Kennedy,34,SF,6-Jun,210,January 12 1947,,1,Duke,kennejo01
Tom Meschery,14,SF,6-Jun,215,October 26 1938,cn,8,Saint Mary's,meschto01
Erwin Mueller,24,PF,8-Jun,230,March 12 1944,us,3,San Francisco,mueller01
Dorie Murrey,41,C,8-Jun,215,September 7 1943,,3,Detroit Mercy,murredo01
Bob Rule,45,C,9-Jun,220,June 29 1944,us,2,Colorado State,rulebo01
Dick Snyder,10,SG,5-Jun,207,February 1 1944,us,3,Davidson,snydedi01
Rod Thorn,44,SG,4-Jun,195,May 23 1941,us,6,West Virginia,thornro01
John Tresvant,30,PF,7-Jun,215,November 6 1939,us,5,Seattle University,tresvjo01
Lenny Wilkens,19,PG,1-Jun,180,October 28 1937,us,9,Providence,wilkele01
Lee Winfield,11,PG,2-Jun,174,February 4 1947,us,R,University of North Texas,winfile01
Fred Carter,3,SG,3-Jun,185,February 14 1945,us,R,Mount St. Mary's University,cartefr01
Mike Davis,13,SG,3-Jun,185,July 26 1946,us,R,Virginia Union University,davismi01
Leroy Ellis,23,C,10-Jun,210,March 10 1940,us,7,St. John's,ellisle01
Brian Heaney,11,G,2-Jun,180,September 3 1946,,R,Acadia University,heanebr01
Gus Johnson,25,PF,6-Jun,230,December 13 1938,us,6,Boise State Idaho,johnsgu01
Kevin Loughery,22,SG,3-Jun,190,March 28 1940,us,7,Boston College St. John's,loughke01
Ed Manning,35,PF,7-Jun,210,January 2 1944,us,2,Jackson State University,mannied01
Jack Marin,24,SF,7-Jun,200,October 12 1944,us,3,Duke,marinja01
Eddie Miles,15,SG,4-Jun,195,July 5 1940,us,6,Seattle University,milesed01
Earl Monroe,10,PG,3-Jun,185,November 21 1944,us,2,Winston-Salem State,monroea01
Bob Quick,15,SF,5-Jun,215,March 5 1946,us,1,Xavier,quickbo01
Ray Scott,31,PF,9-Jun,215,July 12 1938,us,8,New York City College of Technology University of Portland,scottra01
Al Tucker,35,PF,8-Jun,190,February 24 1943,us,2,Oklahoma Baptist University,tuckeal01
Wes Unseld,41,C,7-Jun,245,March 14 1946,us,1,Louisville,unselwe01
Wally Anderzunas,21,SF,7-Jun,220,January 11 1946,,R,Creighton,anderwa01
Bob Cousy,19,PG,1-Jun,175,August 9 1928,us,13,Holy Cross,cousybo01
Connie Dierking,24,C,9-Jun,222,October 2 1936,us,8,Cincinnati,dierkco01
Fred Foster,15,SF,5-Jun,210,March 18 1946,us,1,Miami University,fostefr01
Herm Gilliam,30,SG,3-Jun,190,May 5 1946,us,R,Purdue,gillihe01
Johnny Green,20,PF,5-Jun,200,December 8 1933,us,10,Michigan State,greenjo01
Jim King,17,PG,2-Jun,175,February 7 1941,us,6,Tulsa,kingji01
Jerry Lucas,16,PF,8-Jun,230,March 30 1940,us,6,Ohio State,lucasje01
Luther Rackley,22,C,10-Jun,220,June 11 1946,us,R,Xavier,rackllu01
Oscar Robertson,14,PG,5-Jun,205,November 24 1938,us,9,Cincinnati,roberos01
Adrian Smith,10,SG,1-Jun,180,October 5 1936,us,8,Northeast Mississippi Community College Kentucky,smithad01
Bill Turner,13,PF,7-Jun,220,February 18 1944,,2,University of Akron,turnebi01
Tom Van Arsdale,5,SF,5-Jun,202,February 22 1943,us,4,Indiana,vanarto01
Norm Van Lier,23,PG,1-Jun,173,April 1 1947,us,R,Saint Francis University,vanlino01
